original,result
0011011111010100,ok
0110110100110110,fail
1000011101000101,ok
0100000010111000,ok
0101010111011110,fail
0000100010011010,ok
1010001101000111,ok
0110000111100101,fail
0001101100001110,fail
0001011000000111,ok
1001000001111010,ok
1000101001110000,ok
1010100101001001,fail
0001101100001001,fail
0111101011100110,ok
1001011101111100,fail
0001011110101001,fail
0011010000011101,fail
0010110000010010,fail
1011111010000110,ok
1011111110111111,fail
0111001101100111,fail
0000110100000000,ok
0001010000000111,ok
0110110111000000,ok
0100100110110110,fail
1010100101000110,ok
1000111001111010,fail
1001111110000011,fail
1001011011110110,ok
1001010101111000,fail
0111111110110111,ok
0001010100000100,fail
1010000101000011,ok
1000110001110111,fail
0010001100001110,ok
0010010000001101,fail
1000110001110000,fail
0010000000001000,ok
1001000101101111,fail
0111010011100010,ok
0010001100001010,ok
1100000101001001,fail
1000100111101111,ok
1010000001111101,ok
1010101110000010,ok
1111110101100000,fail
1010111011000100,fail
0011011000010100,fail
1111001001010011,ok
1011110110000111,fail
1101110101001001,fail
1110010000000010,fail
1010010111101011,fail
1110011000011111,fail
1100101111110111,fail
1100111100000000,fail
0010101100001010,ok
0100001010100000,fail
0110000010110110,fail
0000010111110101,ok
0111110011100001,ok
1110101101011100,fail
0000111001011101,ok
1101111011010000,ok
0100000000010101,ok
1100001110000011,ok
1100011110000111,ok
1100001011111010,fail
1110110110010010,ok
0100111000011111,fail
0101001001110011,fail
1110000010010010,ok
0011001110110111,ok
1101010011111000,ok
0100000101101100,ok
1101110111111101,fail
0110000100101010,ok
1111101010010100,ok
0000001000000111,ok
0111110001111010,fail
0111010001101110,ok
0100001000010011,fail
1101111110000111,ok
0101111001101100,ok
0110001111011011,fail
0110010100100110,fail
1000000001110110,ok
1110110010001100,ok
0101001100011110,ok
1110010110010010,ok
0011100011010101,ok
0011100111010110,ok
1000100001101110,ok
0001110010100110,ok
0011011000011010,fail
1101011101011011,fail
0011000100011010,fail
1010000001111101,fail
1001000111110000,ok
0111100000111110,ok
0111011111100001,ok
1010001101111100,fail
1011001101111101,fail
0111100100111111,ok
0010110010110010,ok
0011101100010010,ok
1001110011101001,fail
1111100101011101,ok
1111000101010001,ok
1011011011000100,fail
1100000010000101,ok
0100101100100010,fail
1001100011100000,fail
1110100101001010,ok
1010001010111000,fail
0010111010101111,ok
0010111110110000,fail
1100111110001010,ok
0010011001100010,fail
1101110110001101,fail
0011110000010010,fail
1011111001111100,fail
0110001100101110,ok
1100100110000010,fail
1100101110000110,ok
1100111001111101,ok
0101010100011011,ok
0110110001001000,ok
0011110110111000,ok
1110101110010000,ok
1110011111110111,ok
0110100100101100,ok
0111010000110010,ok
0000111010011100,fail
1000010101001011,ok
0101101000100100,ok
0011100110110011,ok
0101000101101111,fail
0110111001001000,fail
0111111000111001,ok
0100101011000100,fail
1000011001001100,ok
1110110110010000,ok
0100011111000000,ok
0000011010011000,ok
0101010111100100,fail
0001011010011110,fail
0010100000010010,ok
0111101100110100,fail
1000101101010001,ok
0110101100101001,fail
0000100010011100,ok
0000000010010000,ok
0101000011000100,ok
0101100111001100,fail
0011110011011001,fail
0011111011011011,fail
0111111101000001,fail
0100010010110101,ok
